Blade section properties
51 n_secs:     number of blade sections at which properties are specified (-)
==========================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
  sec_loc(-) [0]    str_tw(deg) [1]  tw_iner(deg) [2] mass_den(kg/m) [3] flp_iner(kgm) [4]edge_iner(kgm) [5]flp_stff(Nm^2) [6]edge_stff(Nm^2) [7]tor_stff(Nm^2) [8]axial_stff(Nm^2) [9]  cg_offst(m) [10]   sc_offst(m) [11]   tc_offst(m) [12] 
==========================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
  0.0000000000e+00   1.4500000000e+01  -0.0000000000e+00   1.1895105466e+03   3.9573335307e+03   3.7064988788e+03   6.1872473935e+10   6.1011506749e+10   2.7455792760e+10   1.7786160256e+10   1.3089778303e-03   0.0000000000e+00   1.9768782132e-03
  2.3333256142e-02   1.4500000000e+01  -0.0000000000e+00   1.1916429178e+03   3.9675765618e+03   3.7120800034e+03   6.2176205231e+10   6.1116763426e+10   2.7477989483e+10   1.7842098941e+10   1.8656567448e-03   0.0000000000e+00   2.6945458379e-03
  4.3331635134e-02   1.4496312846e+01  -0.0000000000e+00   1.2027669426e+03   3.9821905800e+03   3.7248376489e+03   6.2996248310e+10   6.1127981838e+10   2.7323879741e+10   1.8082316833e+10   1.0161245958e-02   0.0000000000e+00   4.5298710309e-03
  6.3328161545e-02   1.4487735313e+01  -0.0000000000e+00   1.1714868442e+03   3.7648893149e+03   3.5779752101e+03   6.0146993366e+10   5.8085394494e+10   2.5595670758e+10   1.7655763697e+10   2.3539440110e-02   0.0000000000e+00   2.2321748826e-02
  8.3325035315e-02   1.4446885489e+01  -0.0000000000e+00   1.1136234107e+03   3.3550968618e+03   3.3003069395e+03   5.4555983882e+10   5.3045894415e+10   2.2140914648e+10   1.6848636501e+10   3.8804845157e-02   0.0000000000e+00   2.3844001604e-02
  1.0332190908e-01   1.4297032541e+01   4.2803954889e+01   1.0493102459e+03   2.7494401156e+03   3.1028819592e+03   4.4103380511e+10   5.0864201755e+10   1.8390273001e+10   1.5961225922e+10   9.2994583569e-02   0.0000000000e+00   7.1300750706e-02
  1.2331588820e-01   1.3933361672e+01   3.5909397311e+01   9.7462848090e+02   2.2345925080e+03   2.7042642796e+03   3.5793156581e+10   4.3937592468e+10   1.3969638610e+10   1.4828621724e+10   1.9275952346e-01   0.0000000000e+00   1.5436787407e-01
  1.4329713082e-01   1.3312851722e+01   2.5736828258e+01   9.0874188779e+02   1.7400053193e+03   2.4198568462e+03   2.8389913758e+10   3.7867906129e+10   1.0100617809e+10   1.3850724152e+10   3.4314607351e-01   0.0000000000e+00   2.9520243657e-01
  1.6330732001e-01   1.2443029016e+01   1.8926894414e+01   8.6887170142e+02   1.3572134721e+03   2.2457989607e+03   2.2690734176e+10   3.3767192805e+10   7.4476993507e+09   1.3254621393e+10   4.9999219480e-01   0.0000000000e+00   4.4396264629e-01
  1.7998054790e-01   1.1617478130e+01   1.4276252536e+01   8.4550719319e+02   1.1255319715e+03   2.1641871156e+03   1.9124385492e+10   3.1766382515e+10   6.0282343416e+09   1.2896292803e+10   6.1288272873e-01   0.0000000000e+00   5.4867692200e-01
